EmployeeID,Schedule Employee Rule,HourLimit,AlertType
493312,HOURS PER WEEK,35,WARN
493318,HOURS PER WEEK,35,WARN
495094,HOURS PER WEEK,38,WARN
496030,HOURS PER WEEK,39,WARN
500042,HOURS PER WEEK,38,WARN
504827,HOURS PER WEEK,38,WARN
506336,HOURS PER DAY,24,WARN
509910,HOURS PER WEEK,38,WARN
510341,HOURS PER WEEK,30,WARN
521464,HOURS PER WEEK,39,WARN
527640,HOURS PER WEEK,38,WARN
533695,HOURS PER WEEK,35,WARN
533725,HOURS PER WEEK,38,WARN
535461,HOURS PER DAY,0,WARN
535541,HOURS PER WEEK,30,WARN
536293,HOURS PER WEEK,38,WARN
536785,HOURS PER WEEK,30,WARN
539712,HOURS PER WEEK,39,WARN
540269,HOURS PER WEEK,39,WARN
540846,HOURS PER WEEK,39,WARN
540847,HOURS PER WEEK,30,WARN
547072,HOURS PER WEEK,38,WARN
550966,HOURS PER WEEK,30,WARN
551056,HOURS PER WEEK,35,WARN
554194,HOURS PER WEEK,38,WARN
556244,HOURS PER WEEK,38,WARN
558578,HOURS PER WEEK,40,WARN
560535,HOURS PER DAY,0,WARN
562432,HOURS PER WEEK,35,WARN
563382,HOURS PER WEEK,35,WARN
563383,HOURS PER WEEK,30,WARN
563384,HOURS PER WEEK,30,WARN
564851,HOURS PER WEEK,38,WARN
572598,HOURS PER WEEK,38,WARN
573070,HOURS PER WEEK,39,WARN
573513,HOURS PER WEEK,39,WARN
575400,HOURS PER WEEK,35,WARN
577089,HOURS PER WEEK,40,WARN
579593,HOURS PER WEEK,40,WARN
580497,HOURS PER WEEK,30,WARN
584177,HOURS PER DAY,0,WARN
584507,HOURS PER WEEK,35,WARN
585428,HOURS PER WEEK,30,WARN
587757,HOURS PER WEEK,35,WARN
590335,HOURS PER WEEK,35,WARN
594213,HOURS PER WEEK,35,WARN
598302,HOURS PER WEEK,38,WARN
601346,HOURS PER WEEK,35,WARN
602895,HOURS PER WEEK,100,WARN
609413,HOURS PER WEEK,35,WARN
612249,HOURS PER WEEK,30,WARN
614747,HOURS PER WEEK,35,WARN
614819,HOURS PER WEEK,35,WARN
624564,HOURS PER WEEK,38,WARN
627826,HOURS PER WEEK,35,WARN
630725,HOURS PER WEEK,38,WARN
632474,HOURS PER WEEK,37,WARN
654457,HOURS PER WEEK,35,WARN
659482,HOURS PER WEEK,35,WARN
661059,HOURS PER WEEK,40,WARN
663470,HOURS PER WEEK,38,WARN
663471,HOURS PER WEEK,38,WARN
664410,HOURS PER WEEK,38,WARN
664412,HOURS PER WEEK,38,WARN
665313,HOURS PER WEEK,35,WARN
666008,HOURS PER WEEK,40,WARN
666478,HOURS PER WEEK,30,WARN
668183,HOURS PER WEEK,35,WARN
669063,HOURS PER WEEK,35,WARN
671615,HOURS PER WEEK,100,WARN
672029,HOURS PER WEEK,38,WARN
674764,HOURS PER WEEK,40,WARN
683160,HOURS PER DAY,10,WARN
690275,HOURS PER WEEK,35,WARN
692207,HOURS PER WEEK,35,WARN
692616,HOURS PER WEEK,35,WARN
695467,HOURS PER WEEK,32,WARN
695915,HOURS PER WEEK,37,WARN
696235,HOURS PER WEEK,35,WARN
702169,HOURS PER WEEK,37,WARN
702174,HOURS PER WEEK,37,WARN
706747,HOURS PER DAY,8,WARN
710157,HOURS PER WEEK,40,WARN
712048,HOURS PER WEEK,30,WARN
733053,HOURS PER WEEK,30,WARN
736048,HOURS PER WEEK,30,WARN
737779,HOURS PER WEEK,40,WARN
737780,HOURS PER WEEK,40,WARN
737783,HOURS PER WEEK,40,WARN
745187,HOURS PER WEEK,40,WARN
750471,HOURS PER WEEK,38,WARN
750473,HOURS PER WEEK,38,WARN
753471,HOURS PER WEEK,38,WARN
768303,HOURS PER WEEK,39,WARN
775159,HOURS PER WEEK,38,WARN
775162,HOURS PER WEEK,30,WARN
775164,HOURS PER WEEK,30,WARN
775599,HOURS PER WEEK,40,WARN
775605,HOURS PER WEEK,40,WARN
775610,HOURS PER WEEK,40,WARN
775618,HOURS PER WEEK,40,WARN
775644,HOURS PER WEEK,40,WARN
776415,HOURS PER WEEK,38,WARN
807210,HOURS PER WEEK,40,WARN
810576,HOURS PER WEEK,38,WARN
812617,HOURS PER WEEK,35,WARN
823658,HOURS PER WEEK,30,WARN
823663,HOURS PER WEEK,30,WARN
828861,HOURS PER WEEK,38,WARN
832805,HOURS PER WEEK,35,WARN
837040,HOURS PER WEEK,38,WARN
843625,HOURS PER WEEK,40,WARN
845214,HOURS PER WEEK,38,WARN
